"","VX","VY","VZ"
"1",0,0,5.5
"2",1,0,6.85
"3",0.5,0.87,6.5049679
"4",1.5,0.87,7.548175
"5",0.5,0.87,6.5049679
"6",1,0,6.85
"7",2,0,7.7412
"8",1,0,6.85
"9",1.5,0.87,7.548175
"10",2.5,0.87,7.689375
"11",1.5,0.87,7.548175
"12",2,0,7.7412
"13",3,0,7.3927
"14",2.5,0.87,0
"15",2,0,7.7412
"16",2.5,-0.87,7.689375
"17",3,0,7.3927
"18",2,0,7.7412
"19",1.5,-0.87,7.548175
"20",2.5,-0.87,7.689375
"21",2,0,7.7412
"22",3,0,7.3927
"23",2.5,-0.87,0
"24",2,0,7.7412
"25",2.5,0.87,7.689375
"26",3,0,7.3927
"27",2,0,7.7412
"28",1.5,0.87,7.548175
"29",2.5,0.87,7.689375
"30",2,0,7.7412
"31",3,0,7.3927
"32",2.5,0.87,0
"33",2,0,7.7412
"34",2.5,-0.87,7.689375
"35",3,0,7.3927
"36",2,0,7.7412
"37",1.5,-0.87,7.548175
"38",2.5,-0.87,7.689375
"39",2,0,7.7412
"40",3,0,7.3927
"41",2.5,-0.87,0
"42",2,0,7.7412
"43",2.5,0.87,7.689375
"44",3,0,7.3927
"45",2,0,7.7412
"46",1.5,0.87,7.548175
"47",2.5,0.87,7.689375
"48",2,0,7.7412
"49",3,0,7.3927
"50",2.5,0.87,0
"51",2,0,7.7412
"52",2.5,-0.87,7.689375
"53",3,0,7.3927
"54",2,0,7.7412
"55",1.5,-0.87,7.548175
"56",2.5,-0.87,7.689375
"57",2,0,7.7412
"58",3,0,7.3927
"59",2.5,-0.87,0
"60",2,0,7.7412
"61",2.5,0.87,7.689375
"62",3,0,7.3927
"63",2,0,7.7412
"64",1.5,0.87,7.548175
"65",2.5,0.87,7.689375
"66",2,0,7.7412
"67",3,0,7.3927
"68",2.5,0.87,0
"69",2,0,7.7412
"70",2.5,-0.87,7.689375
"71",3,0,7.3927
"72",2,0,7.7412
"73",1.5,-0.87,7.548175
"74",2.5,-0.87,7.689375
"75",2,0,7.7412
"76",3,0,7.3927
"77",2.5,-0.87,0
"78",2,0,7.7412
"79",2.5,0.87,7.689375
"80",3,0,7.3927
"81",2,0,7.7412
"82",1.5,0.87,7.548175
"83",2.5,0.87,7.689375
"84",2,0,7.7412
"85",3,0,7.3927
"86",2.5,0.87,0
"87",2,0,7.7412
"88",2.5,-0.87,7.689375
"89",3,0,7.3927
"90",2,0,7.7412
"91",1.5,-0.87,7.548175
"92",2.5,-0.87,7.689375
"93",2,0,7.7412
"94",3,0,7.3927
"95",2.5,-0.87,0
"96",2,0,7.7412
"97",2.5,0.87,7.689375
"98",3,0,7.3927
"99",2,0,7.7412
"100",NA,NA,NA
